code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,time_idx,month
US.AAPL,Apple,2025-06-10 00:00:00,200.6,202.67,204.35,200.57,33.333,0.00367,54672608,11073054110.0,0.6056093323405306,201.45,108,6
US.AAPL,Apple,2025-06-11 00:00:00,203.5,198.78,204.5,198.41,32.694,0.00409,60989857,12226345729.0,-1.9193763260472623,202.67,109,6
US.AAPL,Apple,2025-06-12 00:00:00,199.08,199.2,199.68,197.3601,32.763,0.00294,43904635,8723880018.0,0.2112888620585509,198.78,110,6
US.AAPL,Apple,2025-06-13 00:00:00,199.73,196.45,200.37,195.7,32.31,0.00345,51447349,10136983200.0,-1.3805220883534137,199.2,111,6
US.AAPL,Apple,2025-06-16 00:00:00,197.3,198.42,198.685,196.5636,32.634,0.00289,43020691,8513345166.0,1.0027996945787727,196.45,112,6
US.AAPL,Apple,2025-06-17 00:00:00,197.2,195.64,198.39,195.21,32.177,0.00261,38856152,7635033396.0,-1.4010684406813836,198.42,113,6
US.AAPL,Apple,2025-06-18 00:00:00,195.94,196.58,197.57,195.07,32.332,0.00304,45394689,8917550777.0,0.48047434062565236,195.64,114,6
US.AAPL,Apple,2025-06-20 00:00:00,198.235,201.0,201.7,196.855,33.059,0.00649,96813542,19344271393.0,2.2484484688167603,196.58,115,6
US.AAPL,Apple,2025-06-23 00:00:00,201.625,201.5,202.3,198.96,33.141,0.00374,55814272,11228850786.0,0.24875621890547264,201.0,116,6
US.AAPL,Apple,2025-06-24 00:00:00,202.59,200.3,203.44,200.2,32.944,0.00363,54064033,10890610305.0,-0.5955334987592996,201.5,117,6
US.AAPL,Apple,2025-06-25 00:00:00,201.45,201.56,203.67,200.6201,33.151,0.00265,39525730,7975989306.0,0.62905641537693,200.3,118,6
US.AAPL,Apple,2025-06-26 00:00:00,201.43,201.0,202.64,199.46,33.059,0.00341,50799121,10191968993.0,-0.27783290335384114,201.56,119,6
US.AAPL,Apple,2025-06-27 00:00:00,201.89,201.08,203.22,200.0,33.072,0.00491,73188571,14741814136.0,0.039800995024881845,201.0,120,6
US.AAPL,Apple,2025-06-30 00:00:00,202.01,205.17,207.39,199.2607,33.745,0.00616,91912816,18691073038.0,2.034016311915643,201.08,121,6
US.AAPL,Apple,2025-07-01 00:00:00,206.665,207.82,210.1865,206.1401,34.18,0.00528,78788867,16401953395.0,1.2916118340888072,205.17,122,7
US.AAPL,Apple,2025-07-02 00:00:00,208.91,212.44,213.34,208.14,34.94,0.00456,67941811,14386604281.0,2.2230776633625275,207.82,123,7
US.AAPL,Apple,2025-07-03 00:00:00,212.145,213.55,214.65,211.8101,35.123,0.00234,34955836,7465105992.0,0.5225004707211512,212.44,124,7
US.AAPL,Apple,2025-07-07 00:00:00,212.68,209.95,216.23,208.8,34.531,0.00337,50228984,10606375285.0,-1.6857878716928225,213.55,125,7
US.AAPL,Apple,2025-07-08 00:00:00,210.1,210.01,211.43,208.45,34.541,0.00287,42848928,8994486564.0,0.02857823291259932,209.95,126,7
US.AAPL,Apple,2025-07-09 00:00:00,209.53,211.14,211.33,207.22,34.726,0.00327,48749367,10216044892.0,0.5380696157325819,210.01,127,7
US.AAPL,Apple,2025-07-10 00:00:00,210.505,212.41,213.48,210.03,34.935,0.00298,44443635,9433112753.0,0.6014966373022688,211.14,128,7
US.AAPL,Apple,2025-07-11 00:00:00,210.565,211.16,212.13,209.86,34.73,0.00267,39765812,8391718918.0,-0.58848453462643,212.41,129,7
US.AAPL,Apple,2025-07-14 00:00:00,209.925,208.62,210.91,207.54,34.312,0.0026,38840111,8108367381.0,-1.2028793332070429,211.16,130,7
US.AAPL,Apple,2025-07-15 00:00:00,209.22,209.11,211.89,208.92,34.393,0.00284,42296339,8884783957.0,0.23487680951011844,208.62,131,7
US.AAPL,Apple,2025-07-16 00:00:00,210.295,210.16,212.4,208.64,34.565,0.00318,47490532,9990264173.0,0.5021280665678269,209.11,132,7
US.AAPL,Apple,2025-07-17 00:00:00,210.57,210.02,211.8,209.59,34.542,0.00322,48068141,10121257679.0,-0.06661591168632773,210.16,133,7
US.AAPL,Apple,2025-07-18 00:00:00,210.87,211.18,211.79,209.7045,34.733,0.00328,48974591,10326619759.0,0.5523283496809811,210.02,134,7
US.AAPL,Apple,2025-07-21 00:00:00,212.1,212.48,215.78,211.63,34.947,0.00345,51377434,10961350066.0,0.6155885974050492,211.18,135,7
US.AAPL,Apple,2025-07-22 00:00:00,213.14,214.4,214.95,212.2301,35.263,0.00311,46404072,9914193779.0,0.9036144578313329,212.48,136,7
US.AAPL,Apple,2025-07-23 00:00:00,215.0,214.15,215.15,212.41,35.222,0.00315,46989301,10046225794.0,-0.11660447761194029,214.4,137,7
